"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C7,C8,C4,C11,C10,C9,C5";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";7;"0.1uF";;;
2;"MX2,MX1,MX3";"MXOnly-1U-Hotswap";3;"MX-NoLED";;;
3;"R2,R1";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"22";;;
4;"D3,D1,D2";"SK6812-MINI-E";3;"SK6812MINI";;;
5;"SW1";"SKQGADE010";1;"SW_Push";;;
6;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering";1;"Crystal_GND24_Small";;;
7;"USB1";"HRO-TYPE-C-31-M-12-HandSoldering";1;"HRO-TYPE-C-31-M-12";;;
8;"U2";"SOT143B";1;"PRTR5V0U2X";;;
9;"U1";"TQFP-32_7x7mm_P0.8mm";1;"ATmega32U2-AU";;;
10;"R6,R5";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"5.1k";;;
11;"R4";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"R_Small";;;
12;"R3";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"10k";;;
13;"F1";"Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"Polyfuse_Small";;;
14;"D5,D4";"LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm";2;"WS2812B";;;
15;"C6";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"10uF";;;
16;"C3,C2";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"14pF";;;
17;"C1";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"1uF";;;
